,id,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1799,0.0,0.0,0.0,0.5,0.0,4.0,4.5,2.0,1.5,1.0,2.0,2.0,4.0,1.5,3.0,4.0,3.0,1.5,2.5,2.0,3.0,4.0,1.0,1.0
1,1593,2.5,0.5,0.0,0.0,2.0,2.0,0.0,2.0,1.0,0.0,1.0,2.0,1.0,4.0,0.0,0.0,0.5,2.5,1.0,2.0,2.0,2.5,2.0,1.0
2,2106,0.5,2.0,1.0,2.0,1.5,0.5,2.0,2.0,2.0,4.0,0.0,0.5,0.5,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.5,0.5,1.5
3,1662,1.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,1.5,4.0,1.5,2.5,1.5,2.0,1.0,0.0,3.0,2.0,1.0,0.0,1.0,0.0,3.0
4,1180,0.5,0.5,0.0,0.0,2.0,4.5,1.5,2.5,3.5,0.0,2.5,4.5,4.0,1.0,2.5,6.5,4.5,2.0,2.0,3.0,3.5,3.5,0.5,0.0
5,2984,0.5,0.5,1.0,0.0,0.5,0.5,1.0,1.5,1.5,1.5,0.5,1.0,4.0,3.5,2.5,3.0,1.5,4.5,4.0,3.0,0.0,4.0,2.5,2.0
6,1197,0.0,0.0,1.0,1.0,1.5,0.0,1.5,0.5,2.0,1.0,0.5,1.5,0.0,0.0,1.5,3.5,2.0,1.5,1.0,0.0,0.0,1.5,2.5,2.5
7,1714,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.5,3.5,2.0,4.5,4.5,2.0,0.5,5.0,3.0,2.0,1.5,1.5,0.5
8,1471,1.5,0.0,1.0,0.0,1.0,0.0,2.0,1.0,5.0,3.0,1.0,4.0,2.0,2.0,0.0,1.0,0.0,4.5,2.5,1.5,1.5,2.0,0.0,2.0
9,1232,0.0,0.0,0.0,0.5,3.5,2.0,0.0,2.0,2.0,2.0,2.5,2.0,2.0,2.5,2.0,3.0,1.0,4.0,1.0,1.5,1.5,0.0,2.0,2.0
10,2031,1.0,0.0,1.0,1.0,0.0,1.0,1.5,4.0,3.5,1.5,4.0,3.5,1.5,1.0,2.0,1.0,1.5,1.0,1.5,3.5,3.5,1.5,3.0,2.5
